Name,Region,Hoehenlage,Saisonzeit,Land,Piste,Pistenlaenge,Pistenfarbe,Pistenkapazitaet,Unterkunft,UnterkunftTyp,UnterkunftBetten,Schule,SchulSchwerpunkt,SchulZielgruppe
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Olperer,4.0,rot,74,Alpenrose Hotel,Hotel,200,The Snowboard Institute,Snowboard,Fortgeschrittene
Verbier,Wallis,3330,Winter,Schweiz,Attelas,3.7,rot,101,Edelweiss Lodge,Hotel,150,Snow Academy,Ski,Fortgeschrittene
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Olperer,4.0,rot,74,Alpenrose Hotel,Hotel,200,Riders’ Retreat,Snowboard,Anfänger
Verbier,Wallis,3330,Winter,Schweiz,Attelas,3.7,rot,101,Edelweiss Lodge,Hotel,150,Freestyle Freaks,Snowboard,Profis
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Olperer,4.0,rot,74,Alpenrose Hotel,Hotel,200,Summit Ski and Snowboard,Ski,Fortgeschrittene
Verbier,Wallis,3330,Winter,Schweiz,Attelas,3.7,rot,101,Edelweiss Lodge,Hotel,150,Altitude Ski Academy,Ski,Anfänger
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Olperer,4.0,rot,74,Alpenrose Hotel,Hotel,200,Peak Performance Snowboard,Snowboard,Profis
Verbier,Wallis,3330,Winter,Schweiz,Attelas,3.7,rot,101,Edelweiss Lodge,Hotel,150,Snowboard Pros Academy,Snowboard,Anfänger
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Olperer,4.0,rot,74,Alpenrose Hotel,Hotel,200,Rider’s Edge Ski School,Ski,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Gobba di Rollin,6.5,blau,148,Edelweiss Lodge,Hotel,150,Freestyle Factory,Snowboard,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Gobba di Rollin,6.5,blau,148,Edelweiss Lodge,Hotel,150,Ski Masters,Ski,Profis
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Gobba di Rollin,6.5,blau,148,Edelweiss Lodge,Hotel,150,The Ski Lab,Ski,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Gobba di Rollin,6.5,blau,148,Edelweiss Lodge,Hotel,150,Snow Academy,Ski,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Gobba di Rollin,6.5,blau,148,Edelweiss Lodge,Hotel,150,Freestyle Freaks,Snowboard,Profis
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Gobba di Rollin,6.5,blau,148,Edelweiss Lodge,Hotel,150,Altitude Ski Academy,Ski,Anfänger
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Gobba di Rollin,6.5,blau,148,Edelweiss Lodge,Hotel,150,Snowboard Pros Academy,Snowboard,Anfänger
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Dave Murray Downhill,3.1,schwarz,68,Mountain View Cabins,Chalet,30,Alpine Action,Ski,Anfänger
Timberline Lodge,Oregon,2631,ganzjährig,USA,Molly's,3.0,blau,80,Ski View Inn,Hotel,150,Snowboarders Paradise,Snowboard,Profis
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Kaiserblick,Gasthaus,25,Powder School,Ski,Fortgeschrittene
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Snow Haven Inn,Gasthaus,20,Freestyle Factory,Snowboard,Fortgeschrittene
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Refuge,Gasthaus,15,Snowy Peaks Academy,Ski,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Eagle Nest Inn,Gasthaus,30,Mountain Shredders,Snowboard,Profis
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Snow Haven Inn,Gasthaus,20,Ski Masters,Ski,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Kiwi Snow Inn,Gasthaus,15,Snowboard University,Snowboard,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Eagle Nest Inn,Gasthaus,30,Peak Performance Ski School,Ski,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Glacier Lodge,Hotel,150,Alpine Explorers,Ski,Anfänger
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Tofana,5.5,rot,127,La Baita,Gasthaus,20,Skiers’ Dream,Ski,Fortgeschrittene
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Dave Murray Downhill,3.1,schwarz,68,Mountain View Cabins,Chalet,30,Winter Riders Academy,Snowboard,Fortgeschrittene
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Refuge,Gasthaus,15,Avalanche Ski School,Ski,Profis
Niseko United,Hokkaido,1200,Winter,Japan,Family Run,1.8,blau,40,Shirokuma Inn,Gasthaus,18,Snowboard Basics,Snowboard,Anfänger
Park City,Utah,3049,Winter,USA,Silver King,4.0,rot,109,Sundance Inn,Hotel,95,Freeride School,Ski,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Kiwi Snow Inn,Gasthaus,15,Chill & Shred,Snowboard,Anfänger
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Snow Haven Inn,Gasthaus,20,The Ski Lab,Ski,Fortgeschrittene
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Eagle Nest Inn,Gasthaus,30,ShredMasters,Snowboard,Profis
Timberline Lodge,Oregon,2631,ganzjährig,USA,Molly's,3.0,blau,80,Ski View Inn,Hotel,150,Mountainboarders Academy,Snowboard,Fortgeschrittene
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Kaiserblick,Gasthaus,25,The Snowboard Institute,Snowboard,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Glacier Lodge,Hotel,150,Ski Evolution,Ski,Anfänger
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Dave Murray Downhill,3.1,schwarz,68,Mountain View Cabins,Chalet,30,Ice Riders,Ski,Fortgeschrittene
Park City,Utah,3049,Winter,USA,Silver King,4.0,rot,109,Sundance Inn,Hotel,95,Big Air Snowboard,Snowboard,Profis
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Refuge,Gasthaus,15,Snowy Summit Ski School,Ski,Fortgeschrittene
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Tofana,5.5,rot,127,La Baita,Gasthaus,20,Vertical Riders,Snowboard,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Eagle Nest Inn,Gasthaus,30,Mountain Mavericks,Ski,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Kiwi Snow Inn,Gasthaus,15,Snowboard Basecamp,Snowboard,Anfänger
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Snow Haven Inn,Gasthaus,20,Snow Academy,Ski,Fortgeschrittene
Timberline Lodge,Oregon,2631,ganzjährig,USA,Molly's,3.0,blau,80,Ski View Inn,Hotel,150,Boarding Legends,Snowboard,Profis
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Refuge,Gasthaus,15,Powder Ridge Ski School,Ski,Profis
Niseko United,Hokkaido,1200,Winter,Japan,Family Run,1.8,blau,40,Shirokuma Inn,Gasthaus,18,Alpine Snow School,Ski,Anfänger
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Kaiserblick,Gasthaus,25,Riders’ Retreat,Snowboard,Anfänger
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Glacier Lodge,Hotel,150,Ultimate Ski Experience,Ski,Fortgeschrittene
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Snow Haven Inn,Gasthaus,20,Freestyle Freaks,Snowboard,Profis
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Eagle Nest Inn,Gasthaus,30,Glacier Shredders,Snowboard,Fortgeschrittene
Park City,Utah,3049,Winter,USA,Silver King,4.0,rot,109,Sundance Inn,Hotel,95,Snow Glide Academy,Ski,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Refuge,Gasthaus,15,Mountain Side Ski School,Ski,Profis
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Tofana,5.5,rot,127,La Baita,Gasthaus,20,Shredzone,Snowboard,Fortgeschrittene
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Kaiserblick,Gasthaus,25,Summit Ski and Snowboard,Ski,Fortgeschrittene
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Dave Murray Downhill,3.1,schwarz,68,Mountain View Cabins,Chalet,30,Powder & Peak Ski School,Ski,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Refuge,Gasthaus,15,Alpine Ride Academy,Snowboard,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Kiwi Snow Inn,Gasthaus,15,Board Walkers,Snowboard,Anfänger
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Glacier Lodge,Hotel,150,Mountain Magic Ski School,Ski,Fortgeschrittene
Park City,Utah,3049,Winter,USA,Silver King,4.0,rot,109,Sundance Inn,Hotel,95,Snowboarding Pros,Snowboard,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Eagle Nest Inn,Gasthaus,30,Snowboard Xtreme,Snowboard,Fortgeschrittene
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Snow Haven Inn,Gasthaus,20,Altitude Ski Academy,Ski,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Refuge,Gasthaus,15,Mountain Ski and Board,Ski,Fortgeschrittene
Niseko United,Hokkaido,1200,Winter,Japan,Family Run,1.8,blau,40,Shirokuma Inn,Gasthaus,18,Alpine Glide Academy,Snowboard,Fortgeschrittene
Timberline Lodge,Oregon,2631,ganzjährig,USA,Molly's,3.0,blau,80,Ski View Inn,Hotel,150,Boarding Skills Academy,Snowboard,Anfänger
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Kaiserblick,Gasthaus,25,Peak Performance Snowboard,Snowboard,Profis
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Glacier Lodge,Hotel,150,Ski Peak Academy,Ski,Anfänger
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Tofana,5.5,rot,127,La Baita,Gasthaus,20,Alpine Snow Riders,Ski,Anfänger
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Kiwi Snow Inn,Gasthaus,15,Riders Edge Snowboard School,Snowboard,Fortgeschrittene
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Eagle Nest Inn,Gasthaus,30,Peak Shred Academy,Snowboard,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Refuge,Gasthaus,15,Mountain Stars Ski School,Ski,Profis
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Snow Haven Inn,Gasthaus,20,Snowboard Pros Academy,Snowboard,Anfänger
Timberline Lodge,Oregon,2631,ganzjährig,USA,Molly's,3.0,blau,80,Ski View Inn,Hotel,150,Ski Bound Academy,Ski,Anfänger
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Kiwi Snow Inn,Gasthaus,15,Winter Warriors Snowboard,Snowboard,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Glacier Lodge,Hotel,150,Ski Vision Academy,Ski,Profis
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Kaiserblick,Gasthaus,25,Rider’s Edge Ski School,Ski,Fortgeschrittene
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Refuge,Gasthaus,15,Snowboard Summit,Snowboard,Profis
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Dave Murray Downhill,3.1,schwarz,68,Mountain View Cabins,Chalet,30,Summit Riders Ski School,Ski,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Glacier Lodge,Hotel,150,Alpine Action,Ski,Anfänger
Park City,Utah,3049,Winter,USA,Silver King,4.0,rot,109,Sundance Inn,Hotel,95,Snowboarders Paradise,Snowboard,Profis
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Olperer,4.0,rot,74,Kaiserblick,Gasthaus,25,Powder School,Ski,Fortgeschrittene
Verbier,Wallis,3330,Winter,Schweiz,Attelas,3.7,rot,101,Snow Haven Inn,Gasthaus,20,Freestyle Factory,Snowboard,Fortgeschrittene
Verbier,Wallis,3330,Winter,Schweiz,Attelas,3.7,rot,101,Snow Haven Inn,Gasthaus,20,Ski Masters,Ski,Profis
Verbier,Wallis,3330,Winter,Schweiz,Attelas,3.7,rot,101,Snow Haven Inn,Gasthaus,20,The Ski Lab,Ski,Fortgeschrittene
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Olperer,4.0,rot,74,Kaiserblick,Gasthaus,25,The Snowboard Institute,Snowboard,Fortgeschrittene
Verbier,Wallis,3330,Winter,Schweiz,Attelas,3.7,rot,101,Snow Haven Inn,Gasthaus,20,Snow Academy,Ski,Fortgeschrittene
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Olperer,4.0,rot,74,Kaiserblick,Gasthaus,25,Riders’ Retreat,Snowboard,Anfänger
Verbier,Wallis,3330,Winter,Schweiz,Attelas,3.7,rot,101,Snow Haven Inn,Gasthaus,20,Freestyle Freaks,Snowboard,Profis
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Olperer,4.0,rot,74,Kaiserblick,Gasthaus,25,Summit Ski and Snowboard,Ski,Fortgeschrittene
Verbier,Wallis,3330,Winter,Schweiz,Attelas,3.7,rot,101,Snow Haven Inn,Gasthaus,20,Altitude Ski Academy,Ski,Anfänger
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Olperer,4.0,rot,74,Kaiserblick,Gasthaus,25,Peak Performance Snowboard,Snowboard,Profis
Verbier,Wallis,3330,Winter,Schweiz,Attelas,3.7,rot,101,Snow Haven Inn,Gasthaus,20,Snowboard Pros Academy,Snowboard,Anfänger
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Olperer,4.0,rot,74,Kaiserblick,Gasthaus,25,Rider’s Edge Ski School,Ski,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Gobba di Rollin,6.5,blau,148,Snow Haven Inn,Gasthaus,20,Freestyle Factory,Snowboard,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Gobba di Rollin,6.5,blau,148,Snow Haven Inn,Gasthaus,20,Ski Masters,Ski,Profis
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Gobba di Rollin,6.5,blau,148,Snow Haven Inn,Gasthaus,20,The Ski Lab,Ski,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Gobba di Rollin,6.5,blau,148,Snow Haven Inn,Gasthaus,20,Snow Academy,Ski,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Gobba di Rollin,6.5,blau,148,Snow Haven Inn,Gasthaus,20,Freestyle Freaks,Snowboard,Profis
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Gobba di Rollin,6.5,blau,148,Snow Haven Inn,Gasthaus,20,Altitude Ski Academy,Ski,Anfänger
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Gobba di Rollin,6.5,blau,148,Snow Haven Inn,Gasthaus,20,Snowboard Pros Academy,Snowboard,Anfänger
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Dave Murray Downhill,3.1,schwarz,68,Whistler Lodge,Hotel,200,Alpine Action,Ski,Anfänger
Timberline Lodge,Oregon,2631,ganzjährig,USA,Molly's,3.0,blau,80,Mt. Hood Chalet,Chalet,25,Snowboarders Paradise,Snowboard,Profis
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Bergblick Chalet,Chalet,40,Powder School,Ski,Fortgeschrittene
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Zermatt Chalet,Chalet,30,Freestyle Factory,Snowboard,Fortgeschrittene
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Alpine Ridge Chalet,Chalet,30,Snowy Peaks Academy,Ski,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Snowmass Chalet,Chalet,50,Mountain Shredders,Snowboard,Profis
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Zermatt Chalet,Chalet,30,Ski Masters,Ski,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Alpine Chalets,Chalet,20,Snowboard University,Snowboard,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Snowmass Chalet,Chalet,50,Peak Performance Ski School,Ski,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Rocky Retreat,Ferienwohnung,40,Alpine Explorers,Ski,Anfänger
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Tofana,5.5,rot,127,Cortina Chalet,Chalet,45,Skiers’ Dream,Ski,Fortgeschrittene
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Dave Murray Downhill,3.1,schwarz,68,Whistler Lodge,Hotel,200,Winter Riders Academy,Snowboard,Fortgeschrittene
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Alpine Ridge Chalet,Chalet,30,Avalanche Ski School,Ski,Profis
Niseko United,Hokkaido,1200,Winter,Japan,Family Run,1.8,blau,40,Mount Yotei Chalet,Chalet,25,Snowboard Basics,Snowboard,Anfänger
Park City,Utah,3049,Winter,USA,Silver King,4.0,rot,109,Jupiter Chalet,Chalet,35,Freeride School,Ski,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Alpine Chalets,Chalet,20,Chill & Shred,Snowboard,Anfänger
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Zermatt Chalet,Chalet,30,The Ski Lab,Ski,Fortgeschrittene
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Snowmass Chalet,Chalet,50,ShredMasters,Snowboard,Profis
Timberline Lodge,Oregon,2631,ganzjährig,USA,Molly's,3.0,blau,80,Mt. Hood Chalet,Chalet,25,Mountainboarders Academy,Snowboard,Fortgeschrittene
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Bergblick Chalet,Chalet,40,The Snowboard Institute,Snowboard,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Rocky Retreat,Ferienwohnung,40,Ski Evolution,Ski,Anfänger
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Dave Murray Downhill,3.1,schwarz,68,Whistler Lodge,Hotel,200,Ice Riders,Ski,Fortgeschrittene
Park City,Utah,3049,Winter,USA,Silver King,4.0,rot,109,Jupiter Chalet,Chalet,35,Big Air Snowboard,Snowboard,Profis
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Alpine Ridge Chalet,Chalet,30,Snowy Summit Ski School,Ski,Fortgeschrittene
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Tofana,5.5,rot,127,Cortina Chalet,Chalet,45,Vertical Riders,Snowboard,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Snowmass Chalet,Chalet,50,Mountain Mavericks,Ski,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Alpine Chalets,Chalet,20,Snowboard Basecamp,Snowboard,Anfänger
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Zermatt Chalet,Chalet,30,Snow Academy,Ski,Fortgeschrittene
Timberline Lodge,Oregon,2631,ganzjährig,USA,Molly's,3.0,blau,80,Mt. Hood Chalet,Chalet,25,Boarding Legends,Snowboard,Profis
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Alpine Ridge Chalet,Chalet,30,Powder Ridge Ski School,Ski,Profis
Niseko United,Hokkaido,1200,Winter,Japan,Family Run,1.8,blau,40,Mount Yotei Chalet,Chalet,25,Alpine Snow School,Ski,Anfänger
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Bergblick Chalet,Chalet,40,Riders’ Retreat,Snowboard,Anfänger
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Rocky Retreat,Ferienwohnung,40,Ultimate Ski Experience,Ski,Fortgeschrittene
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Zermatt Chalet,Chalet,30,Freestyle Freaks,Snowboard,Profis
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Snowmass Chalet,Chalet,50,Glacier Shredders,Snowboard,Fortgeschrittene
Park City,Utah,3049,Winter,USA,Silver King,4.0,rot,109,Jupiter Chalet,Chalet,35,Snow Glide Academy,Ski,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Alpine Ridge Chalet,Chalet,30,Mountain Side Ski School,Ski,Profis
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Tofana,5.5,rot,127,Cortina Chalet,Chalet,45,Shredzone,Snowboard,Fortgeschrittene
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Bergblick Chalet,Chalet,40,Summit Ski and Snowboard,Ski,Fortgeschrittene
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Dave Murray Downhill,3.1,schwarz,68,Whistler Lodge,Hotel,200,Powder & Peak Ski School,Ski,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Alpine Ridge Chalet,Chalet,30,Alpine Ride Academy,Snowboard,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Alpine Chalets,Chalet,20,Board Walkers,Snowboard,Anfänger
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Rocky Retreat,Ferienwohnung,40,Mountain Magic Ski School,Ski,Fortgeschrittene
Park City,Utah,3049,Winter,USA,Silver King,4.0,rot,109,Jupiter Chalet,Chalet,35,Snowboarding Pros,Snowboard,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Snowmass Chalet,Chalet,50,Snowboard Xtreme,Snowboard,Fortgeschrittene
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Zermatt Chalet,Chalet,30,Altitude Ski Academy,Ski,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Alpine Ridge Chalet,Chalet,30,Mountain Ski and Board,Ski,Fortgeschrittene
Niseko United,Hokkaido,1200,Winter,Japan,Family Run,1.8,blau,40,Mount Yotei Chalet,Chalet,25,Alpine Glide Academy,Snowboard,Fortgeschrittene
Timberline Lodge,Oregon,2631,ganzjährig,USA,Molly's,3.0,blau,80,Mt. Hood Chalet,Chalet,25,Boarding Skills Academy,Snowboard,Anfänger
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Bergblick Chalet,Chalet,40,Peak Performance Snowboard,Snowboard,Profis
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Rocky Retreat,Ferienwohnung,40,Ski Peak Academy,Ski,Anfänger
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Tofana,5.5,rot,127,Cortina Chalet,Chalet,45,Alpine Snow Riders,Ski,Anfänger
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Alpine Chalets,Chalet,20,Riders Edge Snowboard School,Snowboard,Fortgeschrittene
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Snowmass Chalet,Chalet,50,Peak Shred Academy,Snowboard,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Alpine Ridge Chalet,Chalet,30,Mountain Stars Ski School,Ski,Profis
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Zermatt Chalet,Chalet,30,Snowboard Pros Academy,Snowboard,Anfänger
Timberline Lodge,Oregon,2631,ganzjährig,USA,Molly's,3.0,blau,80,Mt. Hood Chalet,Chalet,25,Ski Bound Academy,Ski,Anfänger
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Alpine Chalets,Chalet,20,Winter Warriors Snowboard,Snowboard,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Rocky Retreat,Ferienwohnung,40,Ski Vision Academy,Ski,Profis
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Bergblick Chalet,Chalet,40,Rider’s Edge Ski School,Ski,Fortgeschrittene
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Alpine Ridge Chalet,Chalet,30,Snowboard Summit,Snowboard,Profis
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Dave Murray Downhill,3.1,schwarz,68,Whistler Lodge,Hotel,200,Summit Riders Ski School,Ski,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Rocky Retreat,Ferienwohnung,40,Alpine Action,Ski,Anfänger
Park City,Utah,3049,Winter,USA,Silver King,4.0,rot,109,Jupiter Chalet,Chalet,35,Snowboarders Paradise,Snowboard,Profis
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Olperer,4.0,rot,74,Bergblick Chalet,Chalet,40,Powder School,Ski,Fortgeschrittene
Verbier,Wallis,3330,Winter,Schweiz,Attelas,3.7,rot,101,Zermatt Chalet,Chalet,30,Freestyle Factory,Snowboard,Fortgeschrittene
